attribute_id|entity_type_id|attribute_code|to_be_deleted|attribute_model|backend_model|backend_type|backend_table|frontend_model|frontend_input|frontend_label|frontend_class|source_model|is_required|is_user_defined|default_value|is_unique|note|backend_renderer|frontend_input_renderer|is_global|is_visible|is_searchable|is_filterable|is_comparable|is_visible_on_front|is_html_allowed_on_front|is_used_for_price_rules|is_filterable_in_search|used_in_product_listing|used_for_sort_by|apply_to|is_visible_in_advanced_search|position|is_wysiwyg_enabled|is_used_for_promo_rules|is_required_in_admin_store|is_used_in_grid|is_visible_in_grid|is_filterable_in_grid|search_weight|additional_data|_options||
73|4|name|no|||varchar|||text|Product Name|validate-length maximum-length-255||1|0||0||||0|1|1|0|0|0|0|0|0|1|1||1|0|0|0|0|0|0|0|5||||
74|4|sku|no||Magento\Catalog\Model\Product\Attribute\Backend\Sku|static|||text|SKU|validate-length maximum-length-64||1|0||1||||1|1|1|0|1|0|0|0|0|0|0||1|0|0|0|0|0|0|0|6||||
75|4|description|no|||text|||textarea|Description|||0|0||0||||0|1|1|0|1|0|1|0|0|0|0||1|0|1|0|0|0|0|0|1||||
76|4|short_description|no|||text|||textarea|Short Description|||0|0||0||||0|1|1|0|1|0|1|0|0|1|0||1|0|1|0|0|1|0|0|1||||
77|4|price|no||Magento\Catalog\Model\Product\Attribute\Backend\Price|decimal|||price|Price|||1|0||0||||1|1|1|1|0|0|0|0|0|1|1|simple|virtual|bundle|downloadable|configurable|1|0|0|0|0|0|0|0|1
78|4|special_price|no||Magento\Catalog\Model\Product\Attribute\Backend\Price|decimal|||price|Special Price|||0|0||0||||1|1|0|0|0|0|0|0|0|1|0|simple|virtual|bundle|downloadable|configurable|0|0|0|0|0|1|0|1|1
79|4|special_from_date|no||Magento\Catalog\Model\Attribute\Backend\Startdate|datetime|||date|Special Price From Date|||0|0||0||||2|1|0|0|0|0|0|0|0|1|0|simple|virtual|bundle|downloadable|configurable|0|0|0|0|0|1|0|0|1
80|4|special_to_date|no||Magento\Eav\Model\Entity\Attribute\Backend\Datetime|datetime|||date|Special Price To Date|||0|0||0||||2|1|0|0|0|0|0|0|0|1|0|simple|virtual|bundle|downloadable|configurable|0|0|0|0|0|1|0|0|1
81|4|cost|no||Magento\Catalog\Model\Product\Attribute\Backend\Price|decimal|||price|Cost|||0|1||0||||1|1|0|0|0|0|0|0|0|0|0|simple|virtual|downloadable|0|0|0|0|0|1|0|1|1||
82|4|weight|no||Magento\Catalog\Model\Product\Attribute\Backend\Weight|decimal|||weight|Weight|||0|0||0|||Magento\Catalog\Block\Adminhtml\Product\Helper\Form\Weight|1|1|0|0|0|0|0|0|0|0|0|simple|virtual|bundle|downloadable|configurable|0|0|0|0|0|1|0|1|1
83|4|manufacturer|no|||int|||select|Manufacturer|||0|1||0||||1|1|1|1|1|0|0|0|0|0|0|simple|1|0|0|0|0|1|0|1|1||||
84|4|meta_title|no|||varchar|||text|Meta Title|||0|0||0||||0|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|1|0|1|1||||
85|4|meta_keyword|no|||text|||textarea|Meta Keywords|||0|0||0||||0|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|1|0|1|1||||
86|4|meta_description|no|||varchar|||textarea|Meta Description|||0|0||0|Maximum 255 chars. Meta Description should optimally be between 150-160 characters|||0|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|1|0|1|1||||
87|4|image|no|||varchar||Magento\Catalog\Model\Product\Attribute\Frontend\Image|media_image|Base|||0|0||0||||0|1|0|0|0|0|0|0|0|1|0||0|0|0|0|0|0|0|0|1||||
88|4|small_image|no|||varchar||Magento\Catalog\Model\Product\Attribute\Frontend\Image|media_image|Small|||0|0||0||||0|1|0|0|0|0|0|0|0|1|0||0|0|0|0|0|0|0|0|1||||
89|4|thumbnail|no|||varchar||Magento\Catalog\Model\Product\Attribute\Frontend\Image|media_image|Thumbnail|||0|0||0||||0|1|0|0|0|0|0|0|0|1|0||0|0|0|0|0|0|0|0|1||||
90|4|media_gallery|no|||static|||gallery|Media Gallery|||0|0||0||||1|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|1||||
91|4|old_id|no|||int|||text||||0|0||0||||1|0|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|1||||
92|4|tier_price|no||Magento\Catalog\Model\Product\Attribute\Backend\Tierprice|decimal|||text|Tier Price|||0|0||0||||2|1|0|0|0|0|0|0|0|0|0|simple|virtual|bundle|downloadable|configurable|0|0|0|0|0|0|0|0|1
93|4|color|no|||int|||select|Color|||0|1||0||||1|1|1|1|1|0|0|0|0|0|0|simple|virtual|configurable|1|0|0|0|0|1|0|1|1||
94|4|news_from_date|no||Magento\Catalog\Model\Attribute\Backend\Startdate|datetime|||date|Set Product as New from Date|||0|0||0||||2|1|0|0|0|0|0|0|0|1|0||0|0|0|0|0|1|0|0|1||||
95|4|news_to_date|no||Magento\Eav\Model\Entity\Attribute\Backend\Datetime|datetime|||date|Set Product as New to Date|||0|0||0||||2|1|0|0|0|0|0|0|0|1|0||0|0|0|0|0|1|0|0|1||||
96|4|gallery|no|||varchar|||gallery|Image Gallery|||0|0||0||||1|1|0|0|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|1||||
97|4|status|no|||int|||select|Enable Product||Magento\Catalog\Model\Product\Attribute\Source\Status|0|0|1|0|||Magento\Framework\Data\Form\Element\Hidden|2|1|1|0|0|0|0|0|0|1|0||0|0|0|0|1|0|0|0|1||||
